date, own_capital, borrowed_capital, assets, lt_liabilities, current_liability, current_asset, non_current_assets, long_credits
2007-01-02, 165359213.49, 1936817.19, 91242879.07, 7140365.29, 544821.20, 8563272.32, 82679606.75, 6595544.10
2007-01-03, 28209025.93, 9848355.81, 20736095.53, 5453403.58, 3417421.02, 6631582.56, 14104512.96, 2035982.56
2007-01-04, 103075017.70, 5800074.73, 55220031.06, 10713567.47, 4647607.95, 3682522.21, 51537508.85, 6065959.52
2007-01-05, 37150611.69, 6900167.80, 23335366.44, 10234191.34, 4630003.03, 4760060.59, 18575305.84, 5604188.31
2007-01-06, 106024496.54, 2254903.39, 61995876.12, 10479017.47, 7217037.26, 8983627.85, 53012248.27, 3261980.21
2007-01-07, 88693170.35, 3648653.28, 50149009.48, 8039080.84, 7328496.04, 5802424.30, 44346585.18, 710584.80
2007-01-08, 57342422.85, 6405797.45, 38479980.76, 13629070.79, 7845987.85, 9808769.34, 28671211.42, 5783082.94
2007-01-09, 109351013.28, 5039497.02, 61828023.93, 8123559.24, 4687405.79, 7152517.29, 54675506.64, 3436153.45
2007-01-10, 124759488.56, 7317621.33, 68417430.44, 23057499.72, 18008501.87, 6037686.16, 62379744.28, 5048997.85
2007-01-11, 113076799.75, 6372600.59, 64734568.14, 34399086.36, 29596348.95, 8196168.27, 56538399.87, 4802737.41
2007-01-12, 41934908.49, 7129473.52, 23547542.00, 21475816.22, 20335904.73, 2580087.75, 20967454.25, 1139911.49
2007-01-13, 38642333.90, 4690144.24, 27393313.98, 19629234.23, 16011076.49, 8072147.03, 19321166.95, 3618157.74
2007-01-14, 83618843.30, 9623455.22, 48168111.12, 16863434.29, 13400383.63, 6358689.47, 41809421.65, 3463050.66
2007-01-15, 169227452.29, 6067203.20, 87251752.47, 40825720.56, 35479789.05, 2638026.33, 84613726.14, 5345931.51
2007-01-16, 36910017.87, 4196067.85, 24509618.05, 17403448.93, 12775626.32, 6054609.11, 18455008.94, 4627822.61
2007-01-17, 127053096.82, 3352501.41, 67208498.81, 20730920.58, 15839492.79, 3681950.40, 63526548.41, 4891427.79
2007-01-18, 33898072.08, 4086119.67, 18776627.63, 23840870.00, 19687403.05, 1827591.59, 16949036.04, 4153466.94
2007-01-19, 108303204.10, 8611339.01, 61961753.26, 42926784.83, 37538820.73, 7810151.22, 54151602.05, 5387964.10
2007-01-20, 144208575.03, 8728431.21, 75155095.15, 29785834.45, 28549048.53, 3050807.63, 72104287.52, 1236785.92
2007-01-21, 11318388.51, 5258086.28, 9027204.65, 64626791.08, 60679887.07, 3368010.39, 5659194.26, 3946904.01
2007-01-22, 81746332.16, 9020689.55, 49045440.08, 54714365.94, 51859340.42, 8172274.00, 40873166.08, 2855025.52
2007-01-23, 160110251.85, 4869883.60, 81371773.56, 67848509.03, 63540325.35, 1316647.63, 80055125.93, 4308183.68
2007-01-24, 150659172.03, 8716569.37, 82221486.40, 50555464.34, 46649042.88, 6891900.39, 75329586.02, 3906421.45
2007-01-25, 15822554.33, 3117036.43, 10666396.69, 65025095.96, 62928479.62, 2755119.53, 7911277.16, 2096616.34
2007-01-26, 71380458.53, 6604196.72, 40986256.05, 62846555.91, 58629406.68, 5296026.78, 35690229.27, 4217149.22
2007-01-27, 63919859.59, 9287730.97, 39684093.68, 19565242.87, 13690186.10, 7724163.88, 31959929.80, 5875056.77
2007-01-28, 84607582.59, 8417427.68, 45299024.22, 52977491.91, 46815422.16, 2995232.92, 42303791.29, 6162069.75
2007-01-29, 35904304.13, 9030952.73, 21667638.26, 49452869.20, 44375505.82, 3715486.19, 17952152.06, 5077363.38
2007-01-30, 148755748.47, 1774276.57, 80389980.96, 58213893.32, 56159076.53, 6012106.72, 74377874.24, 2054816.79
2007-01-31, 119381245.31, 8172937.18, 61622233.35, 52363331.76, 49588872.21, 1931610.69, 59690622.66, 2774459.56
2007-02-01, 109524586.51, 6061180.70, 57352735.85, 47524804.90, 41805649.14, 2590442.59, 54762293.26, 5719155.76
2007-02-02, 53848758.65, 5315198.68, 31714177.29, 99237826.13, 95864752.60, 4789797.96, 26924379.33, 3373073.53
2007-02-03, 46029443.64, 9193412.94, 25382962.98, 27262618.77, 21915264.28, 2368241.16, 23014721.82, 5347354.50
2007-02-04, 107477868.87, 6602448.17, 61930041.18, 98583496.46, 94996340.65, 8191106.74, 53738934.43, 3587155.81
2007-02-05, 11793731.17, 7389963.94, 7869558.20, 12966311.32, 11704940.86, 1972692.61, 5896865.59, 1261370.46
2007-02-06, 113499025.33, 4482890.09, 64774925.07, 11923326.75, 5954497.32, 8025412.41, 56749512.66, 5968829.43
2007-02-07, 152337422.48, 9485012.13, 78836413.49, 75938471.34, 71130329.63, 2667702.25, 76168711.24, 4808141.71
2007-02-08, 40664413.54, 2594693.29, 24554435.74, 36937582.27, 35974715.04, 4222228.97, 20332206.77, 962867.23
2007-02-09, 68407815.84, 9438441.07, 35989124.82, 25755811.69, 22837845.21, 1785216.90, 34203907.92, 2917966.48
2007-02-10, 100698681.42, 9508502.06, 51890884.37, 66834414.24, 62522477.52, 1541543.66, 50349340.71, 4311936.72
2007-02-11, 161353035.22, 3877183.18, 83425763.91, 114345347.98, 113201914.82, 2749246.30, 80676517.61, 1143433.16
2007-02-12, 110912381.04, 3864889.27, 62987517.53, 102559905.48, 100169454.48, 7531327.01, 55456190.52, 2390451.00
2007-02-13, 150171054.06, 7649280.54, 83827587.62, 8725171.32, 4888840.10, 8742060.59, 75085527.03, 3836331.22
2007-02-14, 74308100.41, 9438478.70, 41715295.41, 133385329.17, 127934505.28, 4561245.20, 37154050.20, 5450823.89
2007-02-15, 28699784.65, 4392603.40, 21892492.83, 42192515.03, 36201703.55, 7542600.50, 14349892.33, 5990811.48
2007-02-16, 73306969.99, 4492410.46, 40069576.73, 106173542.95, 101860550.84, 3416091.73, 36653484.99, 4312992.11
2007-02-17, 86195349.38, 6087724.06, 50381485.64, 93181645.05, 89602983.16, 7283810.95, 43097674.69, 3578661.89
2007-02-18, 69824338.55, 4230535.34, 37632060.98, 69772538.38, 67647267.65, 2719891.70, 34912169.27, 2125270.73
2007-02-19, 151000709.64, 4249517.72, 79290863.77, 87860931.08, 86947089.06, 3790508.95, 75500354.82, 913842.02
2007-02-20, 25948904.80, 3230983.59, 17627977.16, 88889445.31, 85395787.28, 4653524.76, 12974452.40, 3493658.03
2007-02-21, 157462477.02, 6647246.62, 87937548.75, 112303252.76, 107127994.91, 9206310.24, 78731238.51, 5175257.84
2007-02-22, 34080540.14, 3664830.05, 23563997.12, 12633233.49, 8463439.58, 6523727.05, 17040270.07, 4169793.90
2007-02-23, 106425236.12, 2754664.35, 62414824.12, 131965344.55, 126812659.34, 9202206.06, 53212618.06, 5152685.21
2007-02-24, 82860700.04, 5356871.07, 49064633.82, 134627976.61, 132537191.59, 7634283.80, 41430350.02, 2090785.02
2007-02-25, 171311672.00, 1385446.30, 89573242.62, 62781102.84, 58197485.39, 3917406.62, 85655836.00, 4583617.45
2007-02-26, 87913705.29, 7997646.04, 51265958.30, 7388824.48, 4294286.46, 7309105.65, 43956852.64, 3094538.02
2007-02-27, 19772735.55, 3976555.65, 12240162.39, 186503635.16, 181343889.23, 2353794.61, 9886367.78, 5159745.93
2007-02-28, 110808460.08, 2643855.35, 64674646.71, 119819020.01, 118752364.19, 9270416.67, 55404230.04, 1066655.82
2007-03-01, 52993690.59, 3475030.03, 30127666.43, 102965940.41, 97580703.87, 3630821.13, 26496845.30, 5385236.54
2007-03-02, 11461342.95, 4103476.27, 11236409.92, 148632381.29, 145693311.36, 5505738.45, 5730671.47, 2939069.93
2007-03-03, 62229327.85, 8480115.37, 35489597.00, 188364681.88, 186111145.98, 4374933.07, 31114663.92, 2253535.90
2007-03-04, 68849012.55, 6188580.94, 36207132.52, 101119589.01, 97879061.46, 1782626.25, 34424506.27, 3240527.55
2007-03-05, 107455707.33, 6194583.78, 60366763.62, 126963740.91, 122977663.93, 6638909.96, 53727853.66, 3986076.97
2007-03-06, 124406328.22, 2735988.78, 70586907.06, 71677385.10, 70536115.83, 8383742.95, 62203164.11, 1141269.26
2007-03-07, 129361239.74, 7671467.51, 66717947.82, 148520308.64, 145976910.20, 2037327.95, 64680619.87, 2543398.44
2007-03-08, 83924549.17, 2432118.14, 46161637.60, 94558756.28, 88558833.65, 4199363.02, 41962274.59, 5999922.63
2007-03-09, 160687436.61, 5744057.70, 83008193.87, 125053669.74, 122829865.67, 2664475.57, 80343718.30, 2223804.07
2007-03-10, 130614932.26, 3258118.23, 71093939.57, 114394875.32, 112577434.82, 5786473.44, 65307466.13, 1817440.50
2007-03-11, 62365969.33, 7420002.88, 34142117.80, 33909479.42, 27889025.97, 2959133.14, 31182984.66, 6020453.45
2007-03-12, 22813575.53, 7057259.79, 15646709.91, 168962617.56, 163967629.63, 4239922.14, 11406787.76, 4994987.92
2007-03-13, 47131227.97, 1658049.75, 32175186.87, 97923995.96, 93235924.31, 8609572.89, 23565613.99, 4688071.65
2007-03-14, 91526479.56, 8474163.34, 50769456.76, 46964699.77, 42069783.84, 5006216.98, 45763239.78, 4894915.93
2007-03-15, 131605100.19, 8268848.27, 68076115.72, 58507206.66, 55703164.63, 2273565.62, 65802550.10, 2804042.03
2007-03-16, 17935572.22, 6670713.71, 13657282.38, 231543908.34, 229150252.66, 4689496.27, 8967786.11, 2393655.69
2007-03-17, 103050969.76, 5104026.17, 56267515.15, 36805724.94, 35024234.28, 4742030.27, 51525484.88, 1781490.66
2007-03-18, 58188351.89, 1880468.16, 36911742.81, 223861902.91, 219493060.84, 7817566.86, 29094175.95, 4368842.07
2007-03-19, 24676837.65, 6717497.48, 18232625.00, 124015778.75, 118602398.29, 5894206.18, 12338418.83, 5413380.46
2007-03-20, 61304619.64, 8795382.32, 32585319.27, 47834077.29, 46604468.78, 1933009.45, 30652309.82, 1229608.51
2007-03-21, 56881818.75, 7006387.28, 31081941.37, 70373647.65, 66060730.41, 2641031.99, 28440909.37, 4312917.24
2007-03-22, 127306144.99, 6494496.62, 70809263.53, 117599420.52, 112643779.93, 7156191.03, 63653072.50, 4955640.59
2007-03-23, 165152178.67, 6353186.92, 85748854.41, 44423955.12, 41649693.08, 3172765.07, 82576089.34, 2774262.04
2007-03-24, 84740023.37, 4231492.89, 50988308.59, 242970014.95, 239697910.64, 8618296.90, 42370011.68, 3272104.31
2007-03-25, 42889407.99, 7676681.33, 23887981.69, 90320371.15, 87497751.15, 2443277.69, 21444704.00, 2822620.00
2007-03-26, 94151484.88, 5687384.30, 56148049.30, 271732450.44, 268458481.72, 9072306.86, 47075742.44, 3273968.72
2007-03-27, 163211878.08, 7298252.54, 87895180.36, 196232317.20, 194523315.15, 6289241.32, 81605939.04, 1709002.05
2007-03-28, 117311294.36, 2451309.82, 64186317.54, 86373729.19, 85252923.47, 5530670.36, 58655647.18, 1120805.72
2007-03-29, 57961984.91, 5789965.51, 37756247.26, 222680068.44, 220413842.15, 8775254.80, 28980992.45, 2266226.29
2007-03-30, 68231449.38, 4413521.63, 41715909.48, 68907365.99, 66925581.28, 7600184.79, 34115724.69, 1981784.71
2007-03-31, 43836846.49, 7382472.48, 27270467.18, 221764088.16, 216391346.35, 5352043.94, 21918423.24, 5372741.81
2007-04-01, 143170892.52, 2844349.15, 77177080.82, 192233699.43, 186294039.65, 5591634.56, 71585446.26, 5939659.78
2007-04-02, 117360768.03, 2763336.34, 64629416.55, 203392414.16, 197706975.50, 5949032.53, 58680384.01, 5685438.66
2007-04-03, 52615704.35, 4765295.22, 31158869.60, 159453244.12, 155410836.97, 4851017.43, 26307852.17, 4042407.15
2007-04-04, 28197800.28, 1883726.72, 22136754.32, 92157257.16, 88660272.70, 8037854.18, 14098900.14, 3496984.46
2007-04-05, 166598128.17, 8544190.99, 88356316.69, 90608200.08, 84665486.56, 5057252.60, 83299064.09, 5942713.53
