id, Date, Own Capital, Assets, Long Term Liabilities, Current Liabilities, Current Asset, Non Current Asset, Long Credits
0, 2007-01-02, 116272004.49, 812952402.90, 3664137.52, 5912819.51, 89050840.12, 19732860.08, 81559691.19
1, 2007-01-03, 130760029.15, 331972454.68, 2600402.55, 6312612.38, 67623308.49, 21711483.97, 16564373.42
2, 2007-01-04, 142492933.05, 461729817.30, 3613895.80, 5253421.44, 50059110.28, 62100355.72, 52145677.01
3, 2007-01-05, 128774358.88, 753514650.98, 1704212.28, 3661449.05, 88160470.23, 42231935.05, 76419822.23
4, 2007-01-06, 102011628.20, 325578432.41, 1634288.21, 7878232.89, 55324304.97, 14522974.56, 63696165.21
5, 2007-01-07, 123610220.93, 593259093.27, 3547902.11, 3899147.58, 73628314.81, 66728412.15, 87169304.23
6, 2007-01-08, 122751768.70, 933973057.07, 2024461.16, 6100485.64, 12174304.17, 65189078.31, 58486775.68
7, 2007-01-09, 109512685.42, 951522829.61, 2313440.09, 7838882.99, 54656103.22, 72278579.99, 56565329.91
8, 2007-01-10, 141317850.29, 432325844.48, 1080755.06, 5538061.76, 24239555.46, 59447879.33, 55052499.37
9, 2007-01-11, 147221744.33, 330917319.19, 2396852.40, 1948179.00, 81081244.33, 25526896.27, 37336979.89
10, 2007-01-12, 128113806.15, 915935186.85, 3414806.58, 3080847.35, 58896040.17, 44653698.49, 57164397.29
11, 2007-01-13, 134792371.75, 481877619.53, 4546549.11, 4573300.28, 83816983.22, 24730529.36, 62561131.45
12, 2007-01-14, 116701499.62, 910030978.98, 2242326.71, 4579428.79, 68847312.77, 50497693.03, 19887246.20
13, 2007-01-15, 104116835.99, 842625202.73, 1714936.93, 4066032.12, 27618015.43, 87493250.81, 43567177.78
14, 2007-01-16, 114065425.91, 975464122.86, 4450852.40, 1782894.10, 85560123.75, 37528584.70, 85247493.16
15, 2007-01-17, 129806020.67, 592631456.25, 4008221.54, 3092145.87, 83018942.91, 49188283.61, 48135073.62
16, 2007-01-18, 115986773.81, 861523892.85, 2901733.62, 3935974.45, 30036844.09, 20218816.53, 35412462.99
17, 2007-01-19, 118842833.98, 773970979.82, 3734956.62, 1955720.07, 72984690.31, 84144189.39, 13597498.21
18, 2007-01-20, 143668723.43, 430807900.16, 3026849.67, 1559105.99, 63539260.26, 19255833.63, 33377451.77
19, 2007-01-21, 125150383.05, 533534471.27, 1818848.97, 2852642.27, 54689899.98, 29814905.42, 16697565.24
20, 2007-01-22, 141774990.53, 810997487.15, 1944770.93, 4919325.23, 12633931.38, 58013364.95, 89521579.36
21, 2007-01-23, 109643999.96, 786475259.67, 2864818.34, 8735506.97, 69931232.66, 22594397.99, 73001639.06
22, 2007-01-24, 146852515.04, 637130258.68, 2807447.76, 6578221.09, 12410863.49, 40229844.41, 78390164.62
23, 2007-01-25, 105992627.28, 875286299.90, 2510599.97, 4041462.80, 27761373.07, 45167617.27, 14553842.23
