id, birth_date, hiring_date, dismissal_date, sex, qualification, salary, working_hours, missed_hours
379769744, 1960-11-12, 2007-01-10, 0, 1, 0, 418489.09, 3246, 62
252562197, 1983-03-19, 2007-01-09, 2016-06-17, 0, 7, 462690.31, 17120, 30
500861883, 1956-05-20, 2007-01-01, 0, 0, 7, 82982.78, 6623, 98
347973247, 1967-03-12, 2007-01-05, 2007-10-23, 1, 2, 351826.00, 1428, 19
968858964, 1950-06-29, 2007-01-02, 2009-06-06, 0, 1, 218273.24, 4335, 73
662319805, 1959-10-02, 2007-01-03, 2014-05-23, 0, 7, 311586.20, 13357, 61
230679659, 1968-02-13, 2007-01-03, 2007-11-04, 0, 7, 217447.07, 1399, 118
260686719, 1971-04-29, 2007-01-06, 2015-02-23, 0, 1, 306299.58, 14675, 101
866363601, 1949-01-31, 2007-01-09, 2019-01-25, 1, 2, 122691.71, 21800, 86
567721350, 1976-02-22, 2007-01-04, 0, 1, 7, 206675.91, 2785, 36
334881985, 1979-01-14, 2007-01-10, 0, 1, 7, 330126.68, 4341, 27
525581164, 1978-07-16, 2007-01-06, 2007-10-01, 1, 0, 152058.56, 1313, 20
664139702, 1982-10-18, 2007-01-06, 2008-03-05, 0, 9, 101037.32, 2033, 76
626690869, 1961-10-12, 2007-01-08, 0, 0, 9, 308583.33, 13363, 35
691690307, 1977-08-20, 2007-01-04, 2010-12-19, 1, 3, 73974.26, 7130, 59
188188125, 1972-12-20, 2007-01-09, 2010-05-15, 1, 2, 133753.26, 5998, 81
946788959, 1980-10-26, 2007-01-03, 0, 1, 1, 203416.76, 4446, 66
744539239, 1969-01-08, 2007-01-08, 0, 1, 9, 98373.19, 14548, 129
623389393, 1946-11-03, 2007-01-06, 2009-03-19, 1, 9, 100510.03, 3872, 123
385618889, 1975-11-24, 2007-01-10, 0, 0, 9, 70788.16, 7755, 76
345507607, 1967-12-17, 2007-01-05, 0, 0, 5, 96311.18, 6988, 86
871206718, 1967-03-20, 2007-01-07, 0, 1, 8, 65745.30, 2448, 54
691121209, 1964-12-13, 2007-01-06, 0, 0, 6, 243826.17, 22161, 88
398852737, 1963-08-22, 2007-01-04, 0, 0, 2, 221239.19, 7169, 35
394608436, 1981-12-21, 2007-01-06, 0, 1, 9, 51414.04, 5380, 48
128400739, 1972-08-25, 2007-01-05, 0, 0, 7, 288179.99, 5412, 80
628296511, 1954-03-15, 2007-01-03, 2017-05-30, 1, 7, 150770.92, 18848, 58
491966968, 1973-08-28, 2007-01-10, 2014-10-05, 0, 2, 290414.82, 13969, 86
870859102, 1986-05-10, 2007-01-08, 2007-09-04, 1, 8, 95315.40, 1071, 118
726306287, 1979-01-28, 2007-01-03, 0, 1, 1, 83755.89, 942, 87
683143163, 1957-07-30, 2007-01-09, 0, 1, 5, 193469.76, 13637, 35
301916124, 1975-12-21, 2007-01-04, 2011-01-23, 1, 3, 208979.60, 7263, 100
694550775, 1958-05-01, 2007-01-08, 0, 1, 3, 223105.21, 3784, 32
